n-gram_size,opcodes_to_match,class_threshold,WHOLESET-accuracy,WHOLESET-TPR,WHOLESET-FPR,WHOLESET-F1_score,SUBSET-accuracy,SUBSET-TPR,SUBSET-FPR,SUBSET-F1_score
8,8/8,0.07,96.51297043010753,93.625,0.5625,96.35070827855868,98.99388440860216,98.0,0.0,98.9655913978495
8,8/8,0.08,95.14516129032259,90.875,0.5666666666666668,94.83412786694213,99.18346774193549,98.5,0.125,99.16311094819159
8,8/8,0.09,95.61075268817206,91.625,0.375,95.31263577912634,99.25,98.5,0.0,99.21720430107527
8,8/8,0.1,95.51397849462366,91.25,0.1875,95.18013508089983,99.37291666666665,98.75,0.0,99.35483870967742
9,9/9,0.01,93.17099323322215,97.375,11.272710622710624,93.65227016498442,99.80415971449759,100.0,0.41085164835164845,99.8181818181818
9,9/9,0.02,94.19434457598395,96.4375,8.15412087912088,94.50130449117638,99.74690860215054,99.5,0.0,99.74193548387096
9,9/9,0.03,96.50136803238165,96.4375,3.4159090909090923,96.58160183428207,100.0,100.0,0.0,100.0
9,9/9,0.04,96.64618094178715,96.1875,2.8754120879120877,96.70875128138013,99.54797691879867,99.125,0.0,99.54838709677416
9,9/9,0.05,96.52658509454953,95.75,2.617994505494506,96.57478796503936,100.0,100.0,0.0,100.0
9,9/9,0.06,97.01644419725622,95.9375,1.8376373626373623,97.02570869990224,99.51780913978493,99.0625,0.0,99.51612903225804
9,9/9,0.07,96.26391592510195,93.625,0.9672161172161172,96.21144840077804,99.67901835372636,99.375,0.0,99.67741935483872
9,9/9,0.08,96.7488436225436,94.8125,1.2543040293040295,96.69101003987399,99.96875,100.0,0.0625,99.96969696969695
9,9/9,0.09,97.24221489485673,95.375,0.7255952380952383,97.22941315266122,99.68239247311827,99.375,0.0,99.67741935483872
9,9/9,0.1,97.58669619683249,95.5,0.19583333333333341,97.54523923888497,100.0,100.0,0.0,100.0
10,10/10,0.01,93.27819980018955,97.125,10.95601898101898,93.84887235128593,99.71126152073731,99.4375,0.0,99.70967741935485
10,10/10,0.02,95.39594390592725,95.9375,5.2384157509157525,95.62972737937318,99.58023498331481,99.25,0.07692307692307693,99.58260019550342
10,10/10,0.03,96.67868067694263,96.875,3.5565018315018335,96.81140244954285,100.0,100.0,0.0,100.0
10,10/10,0.04,96.8095443349754,96.5,2.863141025641026,96.90773172905523,99.20887460935434,98.5625,0.07692307692307693,99.2256109481916
10,10/10,0.05,96.33070574447802,94.75,1.9111263736263737,96.38175775619179,99.77620967741936,99.5625,0.0,99.7741935483871
10,10/10,0.06,96.91327963610365,95.25,1.2245421245421249,96.94715743563073,100.0,100.0,0.0,100.0
10,10/10,0.07,97.2435013771916,95.75,1.1571428571428575,97.26308572776873,99.50501251390433,99.0625,0.0,99.51612903225805
10,10/10,0.08,96.87431339053981,94.375,0.4011904761904762,96.84941054033105,100.0,100.0,0.0,100.0
10,10/10,0.09,97.07953347634943,94.8125,0.4583333333333336,97.05656874641858,99.6736873642672,99.375,0.0,99.67741935483872
10,10/10,0.1,96.78760328936922,94.125,0.3339285714285715,96.74010456543836,99.44968847661423,98.9375,0.0,99.4516129032258
11,11/11,0.01,94.79216801737383,96.875,7.531623931623933,95.16901352916533,99.2155774935113,99.1875,0.7548992673992675,99.25093798516474
11,11/11,0.02,95.75377403464167,96.25,4.798626373626373,95.94917383021564,100.0,100.0,0.0,100.0
11,11/11,0.03,96.61427644472698,96.25,2.96158424908425,96.70883968917728,100.0,100.0,0.0,100.0
11,11/11,0.04,96.70309338418352,95.9375,2.46437728937729,96.779756027196,99.47454711584298,99.125,0.14358974358974363,99.48778103616809
11,11/11,0.05,96.52566159636517,95.25,2.085668498168498,96.58787945707151,99.50788044917634,99.0625,0.0,99.51612903225804
11,11/11,0.06,96.5419513745432,94.25,0.9501373626373628,96.5334523929908,99.70493736426717,99.4375,0.0,99.70967741935485
11,11/11,0.07,96.55030424016105,94.1875,0.80728021978022,96.53618518063736,99.2363606535186,98.5625,0.0,99.25591397849465
11,11/11,0.08,96.85710791237769,94.8125,0.8400183150183147,96.90244824696998,100.0,100.0,0.0,100.0
11,11/11,0.09,96.46897607423891,93.8125,0.6434523809523811,96.44016794755117,100.0,100.0,0.0,100.0
11,11/11,0.1,97.03781814449921,94.8125,0.4816849816849819,97.03847456770154,100.0,100.0,0.0,100.0
12,12/12,0.01,94.98724188692904,96.8125,7.0786588411588385,95.36932054346664,99.3735983102919,98.8125,0.0,99.38494623655916
12,12/12,0.02,96.76397915673499,96.125,2.5505036630036626,96.89202926999496,99.59636783544596,99.25,0.0,99.61290322580646
12,12/12,0.03,96.67999640252839,95.625,2.1737637362637368,96.75699226399023,100.0,100.0,0.0,100.0
12,12/12,0.04,96.74951864505536,95.5,1.8928113553113548,96.81841717574883,99.77068502039303,99.5625,0.0,99.77419354838709
12,12/12,0.05,96.7458793500715,95.25,1.553342490842491,96.83408441544277,100.0,100.0,0.0,100.0
12,12/12,0.06,96.47366209368433,94.375,1.1246794871794876,96.50523880550294,99.76503934412722,99.5625,0.0,99.7741935483871
12,12/12,0.07,96.32105712130743,93.4375,0.40608974358974365,96.31805589664326,99.43711432014408,98.9375,0.0,99.4494623655914
12,12/12,0.08,96.46438734837653,94.5625,1.437912087912088,96.4842572265027,99.63296916643691,99.3125,0.0,99.64516129032258
12,12/12,0.09,96.8232304706582,94.8125,0.9214035964035964,96.88198671925032,100.0,100.0,0.0,100.0
12,12/12,0.1,96.66158430001593,94.25,0.6312271062271063,96.679645312974,99.47060391175378,99.0,0.0,99.48387096774191
13,13/13,0.01,95.79567702695488,96.4375,4.9389610389610406,96.05356202092524,99.50519393241166,99.3125,0.28392857142857153,99.5240102639296
13,13/13,0.02,96.74275999075081,95.75,2.1254120879120877,96.83420373003078,99.83073686371101,99.6875,0.0,99.83870967741936
13,13/13,0.03,96.34644144581581,94.875,1.9844322344322338,96.43920657604737,99.37247868001481,98.8125,0.0,99.38494623655912
13,13/13,0.04,97.1329080371489,95.3125,0.8133699633699635,97.17263921191898,99.35887030563059,98.8125,0.0,99.38709677419354
13,13/13,0.05,97.07501040986165,95.375,1.049954212454213,97.12466755991505,100.0,100.0,0.0,100.0
13,13/13,0.06,96.64369482405499,94.3125,0.6982142857142858,96.68593555128597,99.53892188410404,99.125,0.0,99.5483870967742
13,13/13,0.07,96.68096994670967,94.375,0.6264652014652015,96.75074746351166,99.19426512262304,98.5,0.0,99.22580645161291
13,13/13,0.08,96.71927553248469,94.3125,0.5553571428571431,96.74073236737304,100.0,100.0,0.0,100.0
13,13/13,0.09,96.86243423027351,94.5625,0.5309523809523808,96.87926146897226,99.54373609566184,99.125,0.0,99.54838709677419
13,13/13,0.1,96.20109353573342,93.3125,0.4677960927960929,96.26612337421565,100.0,100.0,0.0,100.0
14,14/14,0.01,95.2756164624422,94.75,4.174055111555111,95.53037757625043,99.39943738362118,98.875,0.0,99.41935483870967
14,14/14,0.02,96.77006123794223,95.8125,2.1456002331002337,96.88785929277157,99.66944654113037,99.375,0.0,99.67741935483872
14,14/14,0.03,97.33311594010982,95.75,0.8401556776556777,97.4037459851976,98.76879517070702,97.8125,0.1291666666666667,98.79960899315738
14,14/14,0.04,97.40124311404207,95.8125,0.8178571428571431,97.43782341837533,100.0,100.0,0.0,100.0
14,14/14,0.05,97.25719582605012,95.875,1.1324175824175824,97.34026215501873,99.59941270724086,99.25,0.0,99.61290322580643
14,14/14,0.06,96.8376790643337,94.6875,0.6773809523809524,96.89439216479394,100.0,100.0,0.0,100.0
14,14/14,0.07,97.07185390439703,94.9375,0.4726190476190476,97.1051682003573,98.81006291529093,97.8125,0.0,98.86666666666665
14,14/14,0.08,97.07988482205388,94.875,0.4593364968364969,97.11697930360329,99.69270882991685,99.4375,0.0,99.70967741935485
14,14/14,0.09,96.86770581363187,94.625,0.507875457875458,96.94641942225367,99.1382557633114,98.375,0.0,99.16129032258068
14,14/14,0.1,96.67456618974278,94.3125,0.5804487179487181,96.75305937573738,100.0,100.0,0.0,100.0
15,15/15,0.01,96.23744143766669,95.3125,2.728674103674104,96.46276197656731,99.85820105820106,99.75,0.0,99.87096774193549
15,15/15,0.02,96.8917488273273,95.5625,1.5145104895104895,97.04154051144172,99.72991668602067,99.5,0.0,99.74193548387095
15,15/15,0.03,97.20638870100774,95.3125,0.58228021978022,97.30355066235214,99.53459895916097,99.125,0.0,99.5483870967742
15,15/15,0.04,97.05098596810637,95.3125,0.9325507825507827,97.16719671689081,99.49107933712354,99.0625,0.0,99.51612903225805
15,15/15,0.05,96.85576588625814,94.6875,0.5783882783882784,96.94373106963486,100.0,100.0,0.0,100.0
15,15/15,0.06,97.40740037035228,95.8125,0.7324175824175824,97.5036998179796,100.0,100.0,0.0,100.0
15,15/15,0.07,96.27218916079597,93.875,0.958608058608059,96.33575479488995,99.93548387096774,100.0,0.13333333333333341,99.93939393939394
15,15/15,0.08,96.8460250089074,94.75,0.6520604395604396,96.93643129210425,100.0,100.0,0.0,100.0
15,15/15,0.09,96.63885971920598,94.25,0.5806318681318682,96.7201973452947,99.77297691879866,99.5625,0.0,99.7741935483871
15,15/15,0.1,96.82869126506506,94.5,0.4678571428571429,96.88786361950996,99.558134847067,99.1875,0.0,99.58064516129033
