n-gram_size,opcodes_to_match,class_threshold,WHOLESET-accuracy,WHOLESET-TPR,WHOLESET-FPR,WHOLESET-F1_score,SUBSET-accuracy,SUBSET-TPR,SUBSET-FPR,SUBSET-F1_score
6,6/6,0.01,95.8125,95.3125,3.6875,95.7755052263599,97.5625,95.25,0.125,97.41484038301336
6,6/6,0.02,94.53125,90.1875,1.125,94.14949680875714,98.40625,96.8125,0.0,98.33333333333334
6,6/6,0.03,82.46875,65.8125,0.875,78.25290792568977,83.46875,66.9375,0.0,79.66708669197428
6,6/6,0.04,73.53125,47.5,0.4375,63.19521158136726,76.5,53.0,0.0,68.50270751427544
6,6/6,0.05,67.78125,35.6875,0.125,51.72665075326404,69.34375,38.6875,0.0,54.843782657270374
6,6/6,0.06,56.03125,12.0625,0.0,20.68384687208215,56.46875,12.9375,0.0,22.036520115292497
6,6/6,0.07,52.46875,4.9375,0.0,8.904987960096314,53.84375,7.6875,0.0,13.592432060543503
6,6/6,0.08,52.375,4.75,0.0,8.62635018919848,52.75,5.5,0.0,9.95073959408324
6,6/6,0.09,50.125,0.25,0.0,0.4705882352941176,50.90625,1.8125,0.0,3.3986928104575145
6,6/6,0.1,50.03125,0.0625,0.0,0.1176470588235294,50.0,0.0,0.0,0.0
7,7/7,0.01,94.0625,97.125,9.0,94.30381108455109,99.21875,98.5,0.0625,99.19120234604107
7,7/7,0.02,96.84375,96.125,2.4375,96.7969642938579,99.28125,98.6875,0.125,99.25552297165198
7,7/7,0.03,96.15625,94.625,2.3125,96.05936406719626,98.4375,97.125,0.25,98.36894908484174
7,7/7,0.04,95.90625,92.8125,1.0,95.69347212390869,98.8125,97.6875,0.0625,98.76969696969698
7,7/7,0.05,95.40625,91.4375,0.625,95.08770183695101,98.375,96.75,0.0,98.3075268817204
7,7/7,0.06,95.8125,91.9375,0.3125,95.51707604542702,98.625,97.375,0.125,98.57171309872925
7,7/7,0.07,95.09375,90.4375,0.25,94.68960471150407,97.75,95.5,0.0,97.64041527623289
7,7/7,0.08,89.59375,79.1875,0.0,88.02313520698394,90.71875,81.4375,0.0,89.5455629032937
7,7/7,0.09,87.53125,75.25,0.1875,85.39386496912641,90.5,81.0,0.0,89.19879652831825
7,7/7,0.1,85.40625,71.0,0.1875,82.54818115657605,87.25,74.5,0.0,85.01981075632577
8,8/8,0.01,92.74899193548389,97.9375,12.491666666666667,93.24985519232618,99.93649193548386,100.0,0.1291666666666667,99.93939393939394
8,8/8,0.02,95.47782258064518,96.25,5.304166666666666,95.55587903766349,99.9375,100.0,0.125,99.93939393939394
8,8/8,0.03,96.02318548387096,96.125,4.075,96.04369235087432,99.71673387096774,99.4375,0.0,99.70967741935485
8,8/8,0.04,97.01901881720431,95.5625,1.5130952380952383,96.9358672936259,99.62197580645163,99.3125,0.0625,99.61485826001953
8,8/8,0.05,97.86693548387099,96.625,0.8875000000000002,97.81231165941955,100.0,100.0,0.0,100.0
8,8/8,0.06,97.49193548387096,95.6875,0.6875,97.41519895348165,99.78125,99.5625,0.0,99.77419354838709
