n-gram_size,opcodes_to_match,class_threshold,num_detectors,accuracy,TPR,FPR,TNR,FNR,F1_score
14,14/14,0.01,7326,95.39259945280173,95.21875,4.367534548784548,95.63246545121545,4.78125,95.6608838888977
14,14/14,0.0,4594,94.99990235696917,97.40625,7.787254412254415,92.2127455877455,2.59375,95.44662044870802
14,14/14,0.0,256,83.42397291817493,69.15625,0.0,100.0,30.84375,81.18613312395007
14,14/14,0.0,128,74.84672411218227,52.65625,0.0,100.0,47.34375,68.12846421511772
14,14/14,0.0,64,75.99258916461014,54.90625,0.0,100.0,45.09375,70.02523988391715
14,14/14,0.0,32,75.0612303307659,53.28125,0.0,100.0,46.71875,68.73427405523043
14,14/14,0.0,16,65.25316741049497,35.0625,0.0,100.0,64.9375,50.89781104264888
14,14/14,0.0,8,65.09237434088791,35.125,0.0,100.0,64.875,50.95925841426993
14,14/14,0.0,4,64.98775362316374,34.71875,0.0,100.0,65.28125,50.53646022443985
14,14/14,0.0,2,59.53571384996577,24.46875,0.0,100.0,75.53125,38.26444344605608
14,14/14,0.02,7374,96.2020544833879,95.5,2.96889776889777,97.03110223110224,4.5,96.4007616900536
14,14/14,0.0,4611,94.82154595612953,97.625,8.376036463536463,91.62396353646349,2.375,95.33569710386585
14,14/14,0.0,256,84.65200848758833,71.4375,0.0,100.0,28.5625,82.74677660790064
14,14/14,0.0,128,75.27915548943496,54.125,0.0,100.0,45.875,69.5072942827066
14,14/14,0.0,64,75.46093656130155,54.21875,0.0,100.0,45.78125,69.566407503319
14,14/14,0.0,32,74.93564251878695,53.25,0.0,100.0,46.75,68.6661442306988
14,14/14,0.0,16,59.254641520753154,24.09375,0.0,100.0,75.90625,37.6213099205427
14,14/14,0.0,8,58.56765974171769,22.25,0.0,100.0,77.75,35.29468051279875
14,14/14,0.0,4,58.8392048815262,22.6875,0.0,100.0,77.3125,35.91735451936828
14,14/14,0.0,2,58.01689716516743,21.4375,0.0,100.0,78.5625,34.229419475993765
14,14/14,0.03,7298,96.74444512381588,95.09375,1.3120754245754247,98.68792457542457,4.90625,96.87753450556056
14,14/14,0.0,4610,94.14443106922941,96.53125,8.59033466533466,91.40966533466526,3.46875,94.65773253338466
14,14/14,0.0,256,84.45326410987569,70.96875,0.0,100.0,29.03125,82.53655568661523
14,14/14,0.0,128,76.37120053886808,55.8125,0.0,100.0,44.1875,71.08850358925318
14,14/14,0.0,64,75.75605966081568,54.84375,0.0,100.0,45.15625,70.06856420385652
14,14/14,0.0,32,75.73115233857725,54.5,0.0,100.0,45.5,69.67598333811226
14,14/14,0.0,16,65.15445065301151,34.875,0.0,100.0,65.125,50.54900038914044
14,14/14,0.0,8,64.8545403252404,34.25,0.0,100.0,65.75,49.97064515618295
14,14/14,0.0,4,64.67383488635222,33.78125,0.0,100.0,66.21875,49.492155171072994
14,14/14,0.0,2,58.90286564674352,23.75,0.0,100.0,76.25,37.289889771316645
14,14/14,0.04,7313,96.46230483419374,94.15625,0.8571886446886446,99.14281135531134,5.84375,96.52128676590571
14,14/14,0.0,4598,94.86705692612601,97.6875,8.368500249750243,91.63149975024973,2.3125,95.38600057476935
14,14/14,0.0,256,84.17635553771817,70.5625,0.0,100.0,29.4375,82.24727545164366
14,14/14,0.0,128,75.0413606297505,53.09375,0.0,100.0,46.90625,68.56016666103619
14,14/14,0.0,64,76.28573555561664,55.5625,0.0,100.0,44.4375,70.70702889425523
14,14/14,0.0,32,75.74215074079505,54.5625,0.0,100.0,45.4375,69.70186019877173
14,14/14,0.0,16,64.45232319165503,33.6875,0.0,100.0,66.3125,49.426593107066985
14,14/14,0.0,8,65.1233633159418,34.84375,0.0,100.0,65.15625,50.86966824175067
14,14/14,0.0,4,64.58574005288055,33.75,0.0,100.0,66.25,49.51825793685534
14,14/14,0.0,2,64.83140933341569,34.375,0.0,100.0,65.625,50.2313551123351
14,14/14,0.05,7310,96.64445042891236,94.90625,1.3475836663336664,98.6524163336663,5.09375,96.7429988683206
14,14/14,0.0,4610,94.8174286379792,97.71875,8.47077089577089,91.52922910422913,2.28125,95.2968087869246
14,14/14,0.0,256,84.133733852689,70.4375,0.0,100.0,29.5625,82.1528594056447
14,14/14,0.0,128,75.90765577923604,55.15625,0.0,100.0,44.84375,70.52249975356418
14,14/14,0.0,64,75.77698152664088,54.6875,0.0,100.0,45.3125,69.91294110532172
14,14/14,0.0,32,75.95337404525807,55.125,0.0,100.0,44.875,70.20225794773887
14,14/14,0.0,16,64.4946066023026,33.4375,0.0,100.0,66.5625,49.05062500533226
14,14/14,0.0,8,64.04415937863168,33.09375,0.0,100.0,66.90625,48.791920207938574
14,14/14,0.0,4,64.86971860805626,34.5,0.0,100.0,65.5,50.34438808077257
14,14/14,0.0,2,59.28942933727063,24.03125,0.0,100.0,75.96875,37.69940288992655
