n-gram_size,opcodes_to_match,class_threshold,WHOLESET-accuracy,WHOLESET-TPR,WHOLESET-FPR,WHOLESET-F1_score,SUBSET-accuracy,SUBSET-TPR,SUBSET-FPR,SUBSET-F1_score
6,6/6,0,92.09375,96.4375,12.25,92.50456130432407,98.28125,96.75,0.1875,98.20564263322883
6,5/6,0,53.9375,99.4375,91.5625,68.37195170950953,53.4375,99.4375,92.5625,68.13533484708323
6,5/6,0,53.6875,99.5,92.125,68.27662385159107,53.78125,100.0,92.4375,68.42790202217945
6,4/6,0,50.0,100.0,100.0,66.66666666666674,50.0,100.0,100.0,66.66666666666674
