n-gram_size,opcodes_to_match,class_threshold,num_detectors,accuracy,TPR,FPR,TNR,FNR,F1_score
6,6/6,0.01,329,95.515625,94.59375,3.5625,96.4375,5.40625,95.4462435555675
6,6/6,0.0,334,93.515625,97.3125,10.28125,89.71875,2.6875,93.83082776795501
6,6/6,0.0,256,96.5625,97.40625,4.28125,95.71875,2.59375,96.61405314325125
6,6/6,0.0,128,97.828125,95.65625,0.0,100.0,4.34375,97.72106043752301
6,6/6,0.0,64,97.8125,95.625,0.0,100.0,4.375,97.69525398591017
6,6/6,0.0,32,91.75,83.5,0.0,100.0,16.5,90.77746113236671
6,6/6,0.0,16,80.109375,60.21875,0.0,100.0,39.78125,74.56024586663267
6,6/6,0.0,8,73.578125,47.15625,0.0,100.0,52.84375,63.23094002361739
6,6/6,0.0,4,73.859375,47.71875,0.0,100.0,52.28125,63.86384265310485
6,6/6,0.0,2,72.65625,45.3125,0.0,100.0,54.6875,61.425014046890475
6,6/6,0.02,331,94.5,90.8125,1.8125,98.1875,9.1875,94.17634894524201
6,6/6,0.0,332,94.03125,97.125,9.0625,90.9375,2.875,94.289727136264
6,6/6,0.0,256,96.421875,97.1875,4.34375,95.65625,2.8125,96.4651016638325
6,6/6,0.0,128,98.0,96.0,0.0,100.0,4.0,97.90396737115302
6,6/6,0.0,64,97.71875,95.4375,0.0,100.0,4.5625,97.58432120345344
6,6/6,0.0,32,85.671875,71.34375,0.0,100.0,28.65625,82.78123450046373
6,6/6,0.0,16,79.640625,59.28125,0.0,100.0,40.71875,73.70403604736124
6,6/6,0.0,8,73.15625,46.3125,0.0,100.0,53.6875,62.54102170593604
6,6/6,0.0,4,72.9375,45.875,0.0,100.0,54.125,62.03217009789092
6,6/6,0.0,2,73.21875,46.4375,0.0,100.0,53.5625,62.404680887673095
6,6/6,0.03,329,87.1875,75.8125,1.4375,98.5625,24.1875,85.1659053452213
6,6/6,0.0,328,94.578125,97.84375,8.6875,91.3125,2.15625,94.83441710704507
6,6/6,0.0,256,96.234375,96.5,4.03125,95.96875,3.5,96.24698498395195
6,6/6,0.0,128,98.125,96.25,0.0,100.0,3.75,98.02836484983304
6,6/6,0.0,64,91.65625,83.3125,0.0,100.0,16.6875,90.62598277016532
6,6/6,0.0,32,85.859375,71.71875,0.0,100.0,28.28125,83.08557545521234
6,6/6,0.0,16,80.0625,60.125,0.0,100.0,39.875,74.41968689536905
6,6/6,0.0,8,73.03125,46.0625,0.0,100.0,53.9375,62.06139420711499
6,6/6,0.0,4,74.59375,49.1875,0.0,100.0,50.8125,65.05725071973947
6,6/6,0.0,2,72.375,44.75,0.0,100.0,55.25,61.03183697563564
6,6/6,0.04,328,73.0,46.96875,0.96875,99.03125,53.03125,62.619897016150134
6,6/6,0.0,341,93.5,97.4375,10.4375,89.5625,2.5625,93.84606446700333
6,6/6,0.0,256,96.578125,97.0,3.84375,96.15625,3.0,96.60007610562667
6,6/6,0.0,128,97.96875,95.9375,0.0,100.0,4.0625,97.86192065257679
6,6/6,0.0,64,97.53125,95.0625,0.0,100.0,4.9375,97.40459770114927
6,6/6,0.0,32,85.8125,71.625,0.0,100.0,28.375,83.01319364029047
6,6/6,0.0,16,79.65625,59.3125,0.0,100.0,40.6875,73.82490647450166
6,6/6,0.0,8,73.75,47.5,0.0,100.0,52.5,63.45053093867737
6,6/6,0.0,4,74.296875,48.59375,0.0,100.0,51.40625,64.47799352440084
6,6/6,0.0,2,72.8125,45.625,0.0,100.0,54.375,61.74725332319624
6,6/6,0.05,328,68.140625,37.15625,0.875,99.125,62.84375,52.8344209392608
6,6/6,0.0,323,93.0625,96.59375,10.46875,89.53125,3.40625,93.36739045021271
6,6/6,0.0,256,95.90625,96.4375,4.625,95.375,3.5625,95.93352890756853
6,6/6,0.0,128,98.140625,96.28125,0.0,100.0,3.71875,98.0492398961808
6,6/6,0.0,64,86.234375,72.46875,0.0,100.0,27.53125,83.57246451216088
6,6/6,0.0,32,85.03125,70.0625,0.0,100.0,29.9375,81.87038947342675
6,6/6,0.0,16,80.03125,60.0625,0.0,100.0,39.9375,74.3599485573067
6,6/6,0.0,8,73.1875,46.375,0.0,100.0,53.625,62.32910627638314
6,6/6,0.0,4,74.125,48.25,0.0,100.0,51.75,64.10109350942305
6,6/6,0.0,2,72.796875,45.59375,0.0,100.0,54.40625,61.56060265863468
