ngram,hit_count
0010011_1100011_0000011_0110011_0110011_,1051
1100011_0000011_0110011_0110011_0010011_,1051
0000011_0010011_0100011_0110111_0000011_,1032
0100011_0110111_0000011_0010011_0100011_,816
0110111_0000011_0010011_0100011_0110111_,544
0010011_0110011_0110011_0110011_1100011_,477
0110011_1100011_0110011_1100011_1101111_,477
1100011_0110011_1100011_1101111_0010011_,477
0110111_0000011_0110011_0000011_0110011_,423
0100011_0110111_0000011_0100011_0110111_,272
0000011_0100011_0110111_0000011_0010011_,272
0110111_0000011_0010011_0100011_0100011_,272
1100011_0010011_0110011_0100011_1101111_,223
0000011_0010011_0100011_0010011_1100011_,216
0010011_0100011_1100011_0000011_0100011_,203
0100011_1100011_0000011_0100011_0010011_,203
0000011_0010011_0110011_0010011_0110111_,196
0100011_1101111_0000011_0110011_0110011_,195
1101111_0000011_0110011_0110011_0010011_,195
1100011_0000011_0010011_1101111_1101111_,195
0000011_0010011_1101111_1101111_0010011_,195
0010011_1101111_1101111_0010011_0000011_,195
1101111_1101111_0010011_0000011_0010011_,195
0110011_0110011_1100011_0010011_0110111_,190
0110011_0110011_0010011_1100011_0100011_,190
0000011_0110011_0100011_1101111_0110111_,190
0100011_1100011_1101111_0010011_1101111_,190
0010011_0100011_0010011_1100011_1101111_,190
0100011_0010011_1100011_1101111_0010011_,190
1101111_0010011_0010011_0000011_0100011_,176
1100011_0110111_0010011_0100011_0110111_,176
0010011_0010011_0110011_1101111_0110011_,161
0000011_0000011_0110011_1101111_0100011_,155
0000011_0110011_1101111_0100011_0000011_,155
0110011_1101111_0100011_0000011_0010011_,155
0100011_0000011_0000011_0010011_1101111_,152
0110011_0110011_0100011_0010011_0010011_,151
0100011_0000011_0100011_1101111_0110111_,148
0010011_0110011_1101111_0110011_0010011_,148
0110011_1101111_0110011_0010011_0000011_,148
1101111_0110011_0010011_0000011_0000011_,148
0000011_1100011_0010011_0110011_0110111_,146
1101111_0100011_1101111_0100011_0100011_,145
0110111_0010011_0010011_1101111_0100011_,135
0000011_0000011_1100011_1101111_0110111_,135
1101111_0000011_1100011_0100011_0100011_,125
1100011_0100011_0100011_0100011_0010011_,125
0010011_1100011_0100011_0100011_0000011_,89
1101111_0100011_0100011_0000011_0010011_,86
0000011_0100011_0000011_0110011_0110011_,84
0100011_0000011_0110011_0110011_0010011_,68
0100011_1101111_0100011_0100011_0100011_,59
0010011_0000011_1100011_0100011_0100011_,59
0000011_1100011_0100011_0100011_0110111_,59
1100011_0100011_0100011_0110111_0010011_,59
0010011_1100011_0100011_0100011_0100011_,59
1100011_0100011_0100011_0100011_0000011_,59
1101111_0100011_0010011_0010011_0010011_,43
0010011_0110011_0100011_0110111_0000011_,40
1100011_0000011_0010011_1101111_0100011_,29
0000011_1100011_0100011_0100011_1101111_,26
1100011_0100011_0100011_1101111_0010011_,26
0110011_0100011_0110111_0000011_0110011_,22
0100011_0010011_0110011_0100011_0110011_,16
0010011_0110111_0010011_0110011_0100011_,12
0100011_0000011_0110011_0100011_1101111_,10
1100011_0110011_1100011_0010011_1100011_,10
0110011_1100011_0010011_1100011_0000011_,10
0010011_0100011_1100011_1101111_0010011_,7
0010011_1101111_0100011_1101111_0100011_,6
0110011_1100011_1101111_0010011_1101111_,6
0010011_1100011_0010011_0110011_0100011_,5
0110011_0100011_1101111_0000011_0110011_,5
0010011_1101111_0010011_0100011_0110111_,4
1101111_0010011_0100011_0110111_0010011_,4
0110011_0100011_1101111_0100011_0110111_,4
0100011_0010011_0010011_0000011_1100011_,3
1101111_0100011_0100011_0100011_0000011_,3
0110011_0110011_0100011_0010011_0110011_,3
0110011_0100011_0110111_0000011_0100011_,3
0110011_0010011_0110111_0010011_0110111_,3
0110011_0010011_1100011_0100011_1101111_,2
0010011_1101111_0000011_1100011_0100011_,2
0110011_0000011_0010011_0100011_0110111_,2
0100011_1101111_0100011_0010011_0010011_,1
0010011_0010011_0000011_1100011_0100011_,1
