ngram,hit_count
0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_,10822
0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_,10822
0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_,10822
0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_,10822
0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_,9786
0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_,9786
0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_,9007
0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_,8498
0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_,5989
0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_,5989
0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_,5989
0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_,5989
0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_,5989
0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_,5767
0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_,5767
0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_,5767
0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_,5767
0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_,5767
0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_,5765
0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_,5358
0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_,5358
0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_,5358
0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_,5057
0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_,4987
0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_,4987
0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_,4686
0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_,4268
0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_,4268
0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_,4268
1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_,4268
0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_,4268
0000011_0010011_0010011_0000011_0010011_0010011_0000011_0110111_0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_,3591
0010011_0010011_0000011_0010011_0010011_0000011_0110111_0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_,3591
0010011_0000011_0010011_0010011_0000011_0110111_0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_,3591
0000011_0010011_0010011_0000011_0110111_0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_,3591
0010011_0010011_0000011_0110111_0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_,3591
0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_,3564
0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_,3564
0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_,3564
0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_,3564
0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_,3564
0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_,3564
0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_,3564
0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_0010011_0010011_0110011_0110011_0000011_0100011_,3364
0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_0010011_0010011_0110011_0110011_0000011_0100011_0000011_,3364
0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_0010011_0010011_0110011_0110011_0000011_0100011_0000011_0010011_,3364
0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_0010011_0010011_0110011_0110011_0000011_0100011_0000011_0010011_0100011_,3364
0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_,3319
0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_,3319
0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_,3034
0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_,3034
0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_,3034
0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_,3018
0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_,3018
0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_,2812
0100011_0000011_0010011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_,2733
0000011_0010011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_,2733
0010011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_0010011_0010011_,2733
0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_,2733
0100011_0010011_0010011_0010011_0010011_0100011_0000011_0010011_1100011_0010011_0100011_0010011_0010011_0110011_0010011_0010011_0000011_0010011_,2733
0010011_0010011_0010011_0010011_0100011_0000011_0010011_1100011_0010011_0100011_0010011_0010011_0110011_0010011_0010011_0000011_0010011_0110011_,2733
0010011_0010011_0010011_0100011_0000011_0010011_1100011_0010011_0100011_0010011_0010011_0110011_0010011_0010011_0000011_0010011_0110011_0010011_,2733
0010011_0010011_0100011_0000011_0010011_1100011_0010011_0100011_0010011_0010011_0110011_0010011_0010011_0000011_0010011_0110011_0010011_1100011_,2733
0010011_0100011_0000011_0010011_1100011_0010011_0100011_0010011_0010011_0110011_0010011_0010011_0000011_0010011_0110011_0010011_1100011_0000011_,2733
0100011_0000011_0010011_1100011_0010011_0100011_0010011_0010011_0110011_0010011_0010011_0000011_0010011_0110011_0010011_1100011_0000011_0010011_,2733
0000011_0010011_1100011_0010011_0100011_0010011_0010011_0110011_0010011_0010011_0000011_0010011_0110011_0010011_1100011_0000011_0010011_1101111_,2733
0010011_1100011_0010011_0100011_0010011_0010011_0110011_0010011_0010011_0000011_0010011_0110011_0010011_1100011_0000011_0010011_1101111_0100011_,2733
1100011_0010011_0100011_0010011_0010011_0110011_0010011_0010011_0000011_0010011_0110011_0010011_1100011_0000011_0010011_1101111_0100011_1101111_,2733
0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_,2733
0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_0010011_,2733
0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_0010011_0010011_,2733
0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_0010011_0010011_0110011_,2733
0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_0010011_0010011_0110011_0110011_,2733
0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_0110111_0010011_0010011_0110011_0110011_0000011_,2733
0000011_0010011_0100011_0000011_0000011_1100011_0100011_1101111_0000011_0010011_0000011_0110011_0000011_0100011_0000011_0100011_0000011_0010011_,2733
0010011_0100011_0000011_0000011_1100011_0100011_1101111_0000011_0010011_0000011_0110011_0000011_0100011_0000011_0100011_0000011_0010011_0100011_,2733
0100011_0000011_0000011_1100011_0100011_1101111_0000011_0010011_0000011_0110011_0000011_0100011_0000011_0100011_0000011_0010011_0100011_0000011_,2733
0110011_0010011_0010011_0000011_0100011_0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_0110111_,2688
0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_,2645
0010011_0100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_,2432
0100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_,2432
0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_,2432
0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_,2432
0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_,2432
0010011_0110011_0010011_0110011_0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_,2432
0110011_0010011_0110011_0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_,2432
0010011_0110011_0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_,2432
0110011_0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_,2432
0000011_0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_,2432
0110011_0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_,2432
0000011_0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_,2432
0010011_1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_,2432
1100011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_,2432
0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_,2432
0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_,2432
0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_,2432
0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_,2432
0110011_0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_,2432
0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_,2432
0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_,2432
0000011_0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_,2432
0110011_0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_,2432
0000011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0110011_,2432
0110011_0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0110011_0110011_,2432
0010011_0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0110011_0110011_0010011_,2432
0110011_0010011_0110011_0000011_0110011_0110011_0010011_0110011_0010011_0110011_0000011_0110011_0000011_0110011_0110011_0110011_0010011_0110011_,2432
0100011_0000011_0010011_0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_,2409
0000011_0010011_0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_,2409
0010011_0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_,2409
0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_,2394
0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_,2394
0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_,2394
0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_,2394
0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_,2394
0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0110111_0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_,2394
0010011_0000011_0110111_0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0110111_,2350
0000011_0110111_0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0110111_0010011_,2350
0110111_0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0110111_0010011_0010011_,2350
0010011_0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0110111_0010011_0010011_0110011_,2350
0010011_0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0110111_0010011_0010011_0110011_0110011_,2350
0110011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0110111_0010011_0010011_0110011_0110011_0110011_,2350
0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_,2350
0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_,2350
0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_,2350
0010011_0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_,2350
0000011_0010011_0110011_0110011_0110011_0100011_0000011_0010011_0010011_0000011_0010011_0010011_0000011_0010011_0110011_0110011_0110011_0100011_,2350
0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0010011_,2343
0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0010011_0010011_,2343
0000011_0000011_0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_0010011_,2321
0000011_0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_0010011_0010011_,2321
0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_0010011_0010011_0110011_,2321
0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_0010011_0010011_0110011_0010011_,2321
0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_0010011_0010011_0110011_0010011_0110011_,2321
0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_0010011_0010011_0110011_0010011_0110011_0110011_,2321
0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_0010011_0010011_0110011_0010011_0110011_0110011_0000011_,2321
0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_0010011_0010011_0110011_0010011_0110011_0110011_0000011_0100011_,2321
0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_0010011_0010011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_,2321
0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_,2315
0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_,2315
0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_,2315
0010011_0010011_0010011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_,2315
0010011_0010011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_,2315
0010011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_,2315
0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0000011_0100011_0000011_1100011_,2315
