ngram,hit_count
0110011_0100011_0010011_0010011_0010011_0010011_0100011_,818
0000011_0110011_0010011_0110011_0100011_0110111_0000011_,751
0100011_0000011_0100011_0000011_0010011_0100011_1100011_,722
0000011_0000011_1100011_0000011_0010011_1101111_0100011_,713
1100011_0000011_0010011_1101111_0100011_0000011_0010011_,713
0000011_0010011_1101111_0100011_0000011_0010011_0100011_,713
0010011_1101111_0100011_0000011_0010011_0100011_0000011_,713
1101111_0100011_0000011_0010011_0100011_0000011_0000011_,713
0010011_0000011_0100011_0000011_0110011_0010011_0110011_,664
0000011_0000011_0100011_0010011_0010011_0110011_0110011_,643
0110011_0110011_0000011_0100011_0000011_0110011_0010011_,641
0010011_0010011_1100011_0010011_0110011_0010011_0010011_,641
0010011_1100011_0010011_0110011_0010011_0010011_0000011_,641
1100011_0010011_0110011_0010011_0010011_0000011_0100011_,641
0100011_0000011_0100011_0010011_0000011_0010011_0110011_,641
1100011_0000011_0010011_1101111_0100011_1101111_0000011_,637
0000011_0010011_0010011_0000011_0110011_0010011_0110011_,621
0000011_0110111_0010011_0010011_0010011_0000011_0110011_,621
0010011_0000011_0110011_0010011_0110011_0100011_0110111_,621
0110011_0010011_1100011_0000011_0010011_1101111_0100011_,621
0010011_1100011_0000011_0010011_1101111_0100011_1101111_,621
0000011_0110011_0010011_0010011_0010011_0110011_0100011_,621
0100011_0000011_0000011_0100011_0000011_1100011_0110111_,621
0000011_1100011_0110111_0010011_0010011_0110011_0110011_,621
1100011_0110111_0010011_0010011_0110011_0110011_0000011_,621
0100011_0000011_0000011_0100011_0000011_0110011_0110011_,621
0000011_0000011_0100011_0000011_0110011_0110011_0010011_,621
0000011_0100011_0000011_0110011_0110011_0010011_0110011_,621
0100011_0000011_0110011_0110011_0010011_0110011_0010011_,621
0100011_0000011_0010011_0100011_0000011_0110011_0110011_,621
0010011_0100011_0000011_0110011_0110011_0010011_0110011_,621
0110011_0010011_0110011_0000011_0110011_0000011_0010011_,621
0110011_0000011_0010011_1100011_0000011_0110011_0110011_,621
0000011_0010011_1100011_0000011_0110011_0110011_0010011_,621
0010011_1100011_0000011_0110011_0110011_0010011_0110011_,621
1100011_0000011_0110011_0110011_0010011_0110011_0010011_,621
0110011_0010011_0110011_0000011_0110011_0110011_0010011_,621
0110011_0000011_0110011_0000011_0110011_0110011_0110011_,621
0110011_0000011_0100011_0000011_0010011_1100011_0010011_,621
0000011_0100011_0000011_0010011_1100011_0010011_0110011_,621
1100011_0010011_0110011_0000011_0100011_0000011_0110111_,621
0000011_0100011_0000011_0110111_0010011_0010011_1100011_,621
0010011_0010011_0000011_0100011_0000011_0110111_0010011_,621
0110011_0010011_0010011_0000011_0100011_0000011_0110111_,621
0110011_0000011_0100011_0000011_0110011_0110011_0010011_,621
0110011_0010011_0010011_0000011_0100011_0000011_1100011_,593
0110011_0110011_0010011_0110111_0010011_0000011_0000011_,593
0110011_0010011_0110111_0010011_0000011_0000011_0010011_,593
0010011_0010011_0110011_0110011_0000011_0110011_0010011_,552
0100011_0110111_0000011_0100011_0110111_0000011_0010011_,518
0110111_0000011_0100011_0110111_0000011_0010011_0100011_,518
0000011_0100011_0110111_0000011_0010011_0100011_0110111_,518
0100011_0110111_0000011_0010011_0100011_0110111_0000011_,518
0110111_0000011_0010011_0100011_0110111_0000011_0010011_,518
0000011_0010011_0100011_0110111_0000011_0010011_0100011_,518
0010011_0100011_0110111_0000011_0010011_0100011_0110111_,518
0010011_0100011_0110111_0000011_0010011_0100011_0100011_,518
0100011_0110111_0000011_0010011_0100011_0100011_1101111_,518
0110111_0000011_0010011_0100011_0100011_1101111_0000011_,518
0110011_0100011_0010011_0010011_0110011_0110011_0000011_,516
0010011_0110011_0100011_0110111_0000011_0100011_0110111_,503
0110011_0100011_0110111_0000011_0100011_0110111_0000011_,503
0010011_0100011_0010011_0110011_0000011_0100011_0000011_,473
0110011_0000011_0000011_0100011_0000011_0110011_0110011_,473
0110011_0010011_0100011_0000011_0010011_0010011_0000011_,445
0110011_0010011_0110011_0100011_0110111_0000011_0110011_,445
0010011_0110011_0100011_0110111_0000011_0110011_0000011_,445
0110011_0100011_0110111_0000011_0110011_0000011_0110011_,445
0100011_0110111_0000011_0110011_0000011_0110011_0010011_,445
0110111_0000011_0110011_0000011_0110011_0010011_0000011_,445
0000011_0100011_0000011_0010011_0000011_0110011_0110011_,440
0010011_0110011_0110011_0110011_0100011_0000011_0000011_,426
0110011_0010011_0110011_0000011_0110011_0000011_0100011_,421
0110011_0010011_0010011_0100011_1101111_0000011_0110011_,421
0100011_1101111_0000011_0110011_0010011_0110011_0100011_,421
0110011_0000011_0100011_0000011_0010011_0100011_0110111_,421
0000011_0100011_0000011_0010011_0100011_0110111_0000011_,421
0100011_0000011_0010011_0100011_0110111_0000011_0000011_,421
0000011_0010011_0100011_0110111_0000011_0000011_0100011_,421
0010011_0010011_0110011_0110011_0000011_0000011_0110011_,421
0100011_0000011_0000011_0100011_0100011_0000011_0100011_,417
0000011_0000011_0100011_0100011_0000011_0100011_1101111_,417
0000011_0100011_0100011_0000011_0100011_1101111_0000011_,417
0000011_0000011_0110011_0100011_1101111_0000011_0110111_,417
0100011_0100011_0010011_0100011_0100011_0010011_1101111_,390
