n-gram_size,opcodes_to_match,class_threshold,num_detectors,accuracy,TPR,FPR,TNR,FNR,F1_score
10,10/10,0.01,4638,91.80283113716094,96.09375,12.821451465201458,87.17854853479854,3.90625,92.46823226800683
10,10/10,0.0,3359,90.20742844783452,98.5,18.923314185814178,81.07668581418581,1.5,91.47611128191434
10,10/10,0.0,256,85.28442581704542,71.6875,0.0,100.0,28.3125,83.06283100050678
10,10/10,0.0,128,76.32010929619031,54.78125,0.0,100.0,45.21875,70.10251719750654
10,10/10,0.0,64,75.84787258533086,53.78125,0.0,100.0,46.21875,69.22824198290463
10,10/10,0.0,32,76.61068357110489,55.15625,0.0,100.0,44.84375,70.29806708367425
10,10/10,0.0,16,72.33665365617878,46.90625,0.0,100.0,53.09375,63.000713984455835
10,10/10,0.0,8,73.12854709597964,48.4375,0.0,100.0,51.5625,64.34002952581349
10,10/10,0.0,4,67.12449330090453,36.9375,0.0,100.0,63.0625,52.898968071508165
10,10/10,0.0,2,67.31437648975052,37.4375,0.0,100.0,62.5625,53.36969998747362
10,10/10,0.02,4663,94.77947215465285,96.40625,6.983195970695964,93.01680402930404,3.59375,95.09693756273516
10,10/10,0.0,3355,89.26541527623293,98.125,20.534317765567764,79.46568223443224,1.875,90.6943149266853
10,10/10,0.0,256,84.7785592898636,70.84375,0.0,100.0,29.15625,82.4667693709819
10,10/10,0.0,128,76.17972567255799,54.21875,0.0,100.0,45.78125,69.50718648445782
10,10/10,0.0,64,77.0662458250202,56.3125,0.0,100.0,43.6875,71.4000410206707
10,10/10,0.0,32,75.58868804844887,53.28125,0.0,100.0,46.71875,68.63743423682826
10,10/10,0.0,16,73.08310015978948,48.5625,0.0,100.0,51.4375,64.51405985996371
10,10/10,0.0,8,66.47908370043727,35.875,0.0,100.0,64.125,51.60322936899992
10,10/10,0.0,4,66.80426881573291,36.6875,0.0,100.0,63.3125,52.63557044701214
10,10/10,0.0,2,67.06128502568986,36.90625,0.0,100.0,63.09375,52.833545121067054
10,10/10,0.03,4646,95.51416435550195,96.03125,5.071357808857808,94.92864219114216,3.96875,95.72239477953165
10,10/10,0.0,3348,89.72083963810472,98.0625,19.428009490509496,80.57199050949055,1.9375,90.9829212037078
10,10/10,0.0,256,84.8728979620214,70.96875,0.0,100.0,29.03125,82.48447089872842
10,10/10,0.0,128,75.90831729411053,53.96875,0.0,100.0,46.03125,69.26675211691679
10,10/10,0.0,64,75.6264614452566,53.4375,0.0,100.0,46.5625,68.8494396803211
10,10/10,0.0,32,76.40768450100344,54.90625,0.0,100.0,45.09375,70.20005281186687
10,10/10,0.0,16,73.02983272860499,48.5,0.0,100.0,51.5,64.51532147825054
10,10/10,0.0,8,73.6742572766036,49.4375,0.0,100.0,50.5625,65.33238403121146
10,10/10,0.0,4,67.67231901922176,38.21875,0.0,100.0,61.78125,54.10388918858974
10,10/10,0.0,2,66.97546761613427,36.8125,0.0,100.0,63.1875,52.83959037826318
10,10/10,0.04,4667,96.43884500279103,96.25,3.347115384615387,96.65288461538461,3.75,96.56275976893923
10,10/10,0.0,3365,89.54536709659769,97.90625,19.58812853812854,80.41187146187148,2.09375,90.86880135687619
10,10/10,0.0,256,85.48908178399284,72.125,0.0,100.0,27.875,83.37414604171396
10,10/10,0.0,128,75.51354030565999,53.375,0.0,100.0,46.625,68.84203336005436
10,10/10,0.0,64,76.04634701713749,54.125,0.0,100.0,45.875,69.45009428463703
10,10/10,0.0,32,77.35035937932211,56.59375,0.0,100.0,43.40625,71.65567581189448
10,10/10,0.0,16,73.07004972456164,48.46875,0.0,100.0,51.53125,64.36399384524688
10,10/10,0.0,8,66.17267207170221,35.375,0.0,100.0,64.625,51.357829688296846
10,10/10,0.0,4,67.39360604595929,37.625,0.0,100.0,62.375,53.5082325797523
10,10/10,0.0,2,67.03284237777426,36.53125,0.0,100.0,63.46875,52.59424278307967
10,10/10,0.05,4653,96.18708268593555,94.65625,2.1583666333666334,97.84163336663332,5.34375,96.23188916581896
10,10/10,0.0,3361,89.43086134064309,98.0625,19.927861721611716,80.07213827838827,1.9375,90.76325083721461
10,10/10,0.0,256,84.99566377765422,71.25,0.0,100.0,28.75,82.77476594327207
10,10/10,0.0,128,75.0923499655702,52.40625,0.0,100.0,47.59375,68.02540018480043
10,10/10,0.0,64,75.88110128243609,53.59375,0.0,100.0,46.40625,68.95827911108266
10,10/10,0.0,32,76.95314565419542,55.90625,0.0,100.0,44.09375,71.03061209100187
10,10/10,0.0,16,72.77009704713056,47.9375,0.0,100.0,52.0625,63.95819630212119
10,10/10,0.0,8,73.18514818051798,48.625,0.0,100.0,51.375,64.4779811788205
10,10/10,0.0,4,67.07098734778792,36.875,0.0,100.0,63.125,52.92930875229978
10,10/10,0.0,2,67.60392981472648,37.9375,0.0,100.0,62.0625,53.99054387429678
