ngram,hit_count
1100011_0110011_1100011_1101111_,482
1101111_0000011_0110011_0110011_,192
0000011_0010011_1101111_1101111_,192
0010011_1101111_1101111_0010011_,192
0100011_1100011_0000011_0100011_,182
0100011_0010011_1100011_1101111_,174
0000011_0110011_1101111_0100011_,170
0110011_1101111_0100011_0000011_,170
1100011_0100011_0100011_0110111_,60
1100011_0000011_0110011_0110011_,32
1101111_1101111_0010011_0000011_,10
0100011_1100011_1101111_0010011_,6
1100011_0010011_0110011_0100011_,5
0110011_1100011_0010011_1100011_,3
0110011_1101111_0110011_0010011_,1
