ngram,hit_count
0110011_0010011_0110011_0100011_0110111_0000011_,733
0000011_0010011_1101111_0100011_0000011_0010011_,719
1100011_0010011_0110011_0010011_0010011_0000011_,613
1100011_0000011_0010011_1101111_0100011_1101111_,598
0010011_1100011_0000011_0010011_1101111_0100011_,587
0100011_0000011_0110011_0110011_0010011_0110011_,587
0000011_0010011_1100011_0000011_0110011_0110011_,587
0010011_1100011_0000011_0110011_0110011_0010011_,587
1100011_0000011_0110011_0110011_0010011_0110011_,587
1100011_0110111_0010011_0010011_0110011_0110011_,587
0000011_0100011_0000011_0110011_0110011_0010011_,587
0000011_0000011_0100011_0000011_0110011_0110011_,587
0010011_0010011_0000011_0100011_0000011_0110111_,587
0100011_0110111_0000011_0100011_0110111_0000011_,545
0110111_0000011_0100011_0110111_0000011_0010011_,545
0000011_0100011_0110111_0000011_0010011_0100011_,545
0100011_0110111_0000011_0010011_0100011_0110111_,545
0110111_0000011_0010011_0100011_0110111_0000011_,545
0000011_0010011_0100011_0110111_0000011_0010011_,545
0010011_0100011_0110111_0000011_0010011_0100011_,545
0100011_0110111_0000011_0010011_0100011_0100011_,545
0110111_0000011_0010011_0100011_0100011_1101111_,545
0010011_0110011_0100011_0110111_0000011_0100011_,524
0110011_0100011_0110111_0000011_0100011_0110111_,524
0110011_0010011_0100011_0100011_0010011_0100011_,457
0000011_0110011_0010011_0100011_0010011_0010011_,435
0110011_0100011_0110111_0000011_0110011_0000011_,417
0100011_0110111_0000011_0110011_0000011_0110011_,417
0110111_0000011_0110011_0000011_0110011_0010011_,417
0000011_0100011_0100011_0000011_0100011_1101111_,397
0110011_0100011_0000011_0010011_0100011_0110111_,395
1101111_0000011_0110011_0010011_0110011_0100011_,389
0100011_0000011_0010011_0100011_0110111_0000011_,389
0000011_0010011_0100011_0110111_0000011_0000011_,389
1101111_0000011_0000011_0110011_0000011_0110111_,385
0010011_1100011_0010011_0010011_1101111_0010011_,384
0110011_0100011_0000011_0110011_0010011_0010011_,378
0110111_0010011_0110011_0100011_0000011_1100011_,378
0110011_0100011_0100011_0100011_0000011_0110011_,378
0100011_0000011_0000011_0010011_0010011_0110111_,378
0010011_0110111_0010011_0110011_0100011_0110111_,378
0110111_0010011_0110011_0100011_0110111_0000011_,378
0100011_0010011_0100011_0100011_0010011_1101111_,378
0000011_0000011_0010011_0110011_0010011_0110111_,378
0000011_0010011_0110011_0010011_0110111_0010011_,378
1101111_0100011_0000011_0010011_0100011_1100011_,375
0000011_0010011_0100011_1100011_0000011_0100011_,373
0010011_0100011_1100011_0000011_0100011_0010011_,373
0100011_1100011_0000011_0100011_0010011_0000011_,373
0110011_0110111_0010011_0110011_0110011_0000011_,373
0110011_0010011_0010011_0100011_0100011_0110111_,373
0110011_0110011_0010011_0110011_0110011_1100011_,373
0010011_0110011_0010011_0110111_0010011_0110111_,373
0010011_1101111_0010011_0010011_0000011_0100011_,371
1101111_0010011_0010011_0000011_0100011_0000011_,371
0010011_1100011_0110111_0010011_0100011_0110111_,371
1100011_0110111_0010011_0100011_0110111_0010011_,371
1101111_0010011_0100011_0100011_0010011_0110011_,366
0100011_0010011_0110011_0000011_0000011_0110011_,366
0110111_0010011_1100011_0110111_0010011_0100011_,366
1100011_0110111_0010011_0100011_0000011_0110111_,366
0010011_0110011_0010011_0100011_0100011_0010011_,362
0010011_1100011_0010011_0010011_1101111_0110111_,362
0110011_0010011_1100011_0010011_0010011_1101111_,362
0110011_0010011_0110011_0110011_1100011_0010011_,362
0010011_0110011_0110011_1100011_0010011_0110111_,362
0110011_0110011_1100011_0010011_0110111_0010011_,362
0110011_0010011_0110011_0100011_1101111_0100011_,362
0010011_0110011_0100011_1101111_0100011_0110111_,362
1101111_0100011_0110111_0010011_0010011_0010011_,362
