ngram,hit_count
0000011_0010011_0100011_0000011_0010011_0100011_0000011_0100011_0000011_0010011_0100011_1100011_,757
0100011_0000011_0100011_0000011_0010011_0100011_0100011_1101111_0000011_0010011_0100011_0000011_,739
0000011_0100011_0000011_0010011_0100011_0100011_1101111_0000011_0010011_0100011_0000011_0100011_,739
0100011_0000011_0010011_0100011_0100011_1101111_0000011_0010011_0100011_0000011_0100011_0000011_,739
0100011_0100011_0100011_0100011_0100011_0000011_0000011_1100011_0010011_1101111_0100011_1101111_,719
0110011_0000011_1100011_0000011_0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_,719
0000011_1100011_0000011_0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_,719
1100011_0000011_0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_,719
0000011_0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_,719
0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_,719
0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_,719
0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_,719
0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_,719
1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_,719
0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_0110011_,719
0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_0110011_0000011_,719
1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_0110011_0000011_0010011_,719
0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_0110011_0000011_0010011_1100111_,719
0010011_0010011_0000011_0010011_0110011_0110111_0010011_0010011_0110011_0110011_0010011_0000011_,683
0010011_0000011_0010011_0110011_0110111_0010011_0010011_0110011_0110011_0010011_0000011_0010011_,683
0000011_0100011_0010011_0010011_0110011_0110011_0000011_0100011_0010011_0010011_0110011_0110011_,662
0000011_0010011_0000011_0110011_0000011_0100011_0000011_0010011_0100011_0000011_0010011_0100011_,660
0100011_0000011_0010011_0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_,660
0000011_0010011_0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_,660
0010011_0100011_0000011_0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_,660
0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_,660
0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_,660
0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_,660
0010011_0110011_0110011_0000011_0100011_0000011_0010011_0100011_0000011_0000011_0100011_0000011_,660
0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_,660
0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_,660
0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_,660
0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0010011_,660
0000011_0100011_0000011_0110011_0010011_0110011_0110011_0000011_0100011_0000011_0010011_0010011_,660
0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_,660
0000011_0100011_0000011_0100011_0010011_0000011_0010011_0110011_0110011_0000011_0100011_0000011_,660
0100011_0000011_0100011_0010011_0000011_0010011_0110011_0110011_0000011_0100011_0000011_0100011_,660
0010011_0110011_0110011_0000011_0100011_0010011_0010011_0110011_0110011_0000011_0100011_0010011_,644
0110011_0110011_0000011_0100011_0010011_0010011_0110011_0110011_0000011_0100011_0010011_0010011_,644
0110011_0000011_0100011_0010011_0010011_0110011_0110011_0000011_0100011_0010011_0010011_0110011_,644
0010011_0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_,641
0100011_0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_,641
0000011_0000011_0010011_0010011_0100011_0000011_0000011_0100011_0000011_0010011_0010011_0010011_,641
0000011_0100011_0010011_0000011_0010011_0110011_0110011_0000011_0100011_0000011_0100011_0000011_,641
0000011_0010011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_,631
0010011_0110011_0010011_0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_,631
