ngram,hit_count
0110011_0100011_0010011_0010011_0010011_0010011_0100011_0000011_0010011_,822
0010011_0010011_0010011_0110011_0100011_0000011_0010011_0000011_0110011_,800
0010011_0010011_0110011_0010011_0110011_0110011_0000011_0110011_0100011_,739
0000011_0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_,727
0010011_0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_,727
0100011_0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_,727
0000011_0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_,727
0000011_1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_,727
1100011_0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_,727
0000011_0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_,727
0010011_1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_,727
1101111_0100011_0000011_0010011_0100011_0000011_0000011_1100011_0010011_,727
0000011_0010011_0100011_0000011_0100011_0000011_0010011_0100011_1100011_,715
0000011_0100011_0000011_0010011_0100011_0100011_1101111_0000011_0010011_,698
0010011_0100011_0100011_1101111_0000011_0010011_0100011_0000011_0100011_,698
0110011_0100011_0100011_0100011_0000011_0010011_0110011_0010011_0110011_,692
0010011_0010011_0000011_0010011_0110011_0110111_0010011_0010011_0110011_,663
0010011_0110011_0110111_0010011_0010011_0110011_0110011_0010011_0000011_,663
0110011_0110111_0010011_0010011_0110011_0110011_0010011_0000011_0010011_,663
0010011_0110011_0000011_0110011_0000011_0110011_0010011_0110011_0010011_,658
0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_,655
0110011_0110011_0000011_0100011_0000011_0110011_0010011_0110011_0110011_,655
0110011_0010011_0110011_0110011_0000011_0100011_0000011_0110011_0010011_,655
1100011_0100011_1101111_0000011_0010011_0000011_0110011_0000011_0100011_,655
0000011_0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_,655
0110111_0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_,655
0010011_0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_,655
0010011_1100011_0010011_0110011_0010011_0010011_0000011_0100011_0000011_,655
0000011_0100011_0000011_0100011_0010011_0000011_0010011_0110011_0110011_,655
0100011_0000011_0100011_0010011_0000011_0010011_0110011_0110011_0000011_,655
0000011_0100011_0010011_0000011_0010011_0110011_0110011_0000011_0100011_,655
0010011_0000011_0010011_0110011_0110011_0000011_0100011_0000011_0100011_,655
0010011_0110011_0100011_0010011_0010011_0110011_0000011_0010011_0010011_,654
0110011_0000011_0010011_0010011_0110011_0010011_0110011_0110011_0000011_,654
0100011_0000011_0000011_0100011_0010011_0010011_0110011_0110011_0000011_,644
0000011_0000011_0100011_0010011_0010011_0110011_0110011_0000011_0100011_,644
0110011_0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_,638
0100011_0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_,638
0000011_0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_,638
0010011_0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_,638
0010011_0000011_0110011_0010011_0110011_0100011_0000011_0110111_0010011_,638
