n-gram_size,opcodes_to_match,class_threshold,num_detectors,accuracy,TPR,FPR,TNR,FNR,F1_score
8,8/8,0.01,2053,91.70961021505376,98.0,14.621428571428574,85.37857142857142,2.0,92.35222888510731
8,8/8,0.0,1801,89.45110887096776,99.375,20.57083333333333,79.42916666666667,0.625,90.60379984356376
8,8/8,0.0,256,97.39364919354838,94.8125,0.0,100.0,5.1875,97.2602892102335
8,8/8,0.0,128,97.38403897849462,94.78125,0.0,100.0,5.21875,97.24618359023238
8,8/8,0.0,64,88.89818548387099,77.875,0.0,100.0,22.125,87.2476930501626
8,8/8,0.0,32,88.42227822580645,76.90625,0.0,100.0,23.09375,86.58655243491741
8,8/8,0.0,16,87.70628360215058,75.53125,0.0,100.0,24.46875,85.70758868114112
8,8/8,0.0,8,86.09375,72.25,0.0,100.0,27.75,83.47189878376035
8,8/8,0.0,4,80.77506720430108,61.71875,0.0,100.0,38.28125,75.6750633458009
8,8/8,0.0,2,73.63269489247313,47.53125,0.0,100.0,52.46875,63.576182493957255
8,8/8,0.02,2053,94.38793682795698,96.15625,7.392857142857143,92.60714285714285,3.84375,94.55699730772061
8,8/8,0.0,1786,89.01189516129034,98.59375,20.66607142857143,79.33392857142857,1.40625,90.20831059120627
8,8/8,0.0,256,97.49240591397847,95.0,0.0,100.0,5.0,97.34871785817269
8,8/8,0.0,128,97.01851478494622,94.0625,0.0,100.0,5.9375,96.85780496848339
8,8/8,0.0,64,89.42086693548389,78.90625,0.0,100.0,21.09375,87.92351391203464
8,8/8,0.0,32,88.87237903225808,77.84375,0.0,100.0,22.15625,87.19618796139774
8,8/8,0.0,16,82.85534274193546,65.8125,0.0,100.0,34.1875,78.81278479920451
8,8/8,0.0,8,80.24865591397851,60.65625,0.0,100.0,39.34375,74.87476663044879
8,8/8,0.0,4,81.0539314516129,62.25,0.0,100.0,37.75,76.14396069421846
8,8/8,0.0,2,74.97335349462364,50.15625,0.0,100.0,49.84375,65.87853023660804
8,8/8,0.03,2055,95.52362231182794,96.0,4.956547619047618,95.04345238095239,4.0,95.54675692908357
8,8/8,0.0,1781,90.35735887096774,99.3125,18.666666666666664,81.33333333333334,0.6875,91.34774937888128
8,8/8,0.0,256,98.16481854838709,96.34375,0.0,100.0,3.65625,98.0791249536521
8,8/8,0.0,128,97.26649865591396,94.5625,0.0,100.0,5.4375,97.12303088087279
8,8/8,0.0,64,89.32661290322584,78.71875,0.0,100.0,21.28125,87.76797927240655
8,8/8,0.0,32,88.79559464219507,77.6875,0.0,100.0,22.3125,87.10925823157203
8,8/8,0.0,16,86.34905913978493,72.8125,0.0,100.0,27.1875,83.88334086216187
8,8/8,0.0,8,80.67207661290323,61.46875,0.0,100.0,38.53125,75.53966697028456
8,8/8,0.0,4,80.887936827957,61.9375,0.0,100.0,38.0625,75.65889716591364
8,8/8,0.0,2,74.42459677419355,49.09375,0.0,100.0,50.90625,65.05056035442209
8,8/8,0.04,2064,96.80137768817201,95.90625,2.3002976190476194,97.69970238095239,4.09375,96.75617990825603
8,8/8,0.0,1799,90.04462365591398,99.40625,19.385416666666668,80.61458333333333,0.59375,91.08801819711256
8,8/8,0.0,256,97.5241935483871,95.0625,0.0,100.0,4.9375,97.3802343579873
8,8/8,0.0,128,97.50655241935482,95.03125,0.0,100.0,4.96875,97.3785528894538
8,8/8,0.0,64,89.14166666666668,78.40625,0.0,100.0,21.59375,87.56736377370432
8,8/8,0.0,32,89.29317876344086,78.625,0.0,100.0,21.375,87.73278036510528
8,8/8,0.0,16,88.06502016129033,76.1875,0.0,100.0,23.8125,86.14250377706118
8,8/8,0.0,8,80.83040994623656,61.78125,0.0,100.0,38.21875,75.71915486590149
8,8/8,0.0,4,80.35547715053764,60.84375,0.0,100.0,39.15625,75.05408414119057
8,8/8,0.0,2,74.33350134408603,48.84375,0.0,100.0,51.15625,64.71201703177714
8,8/8,0.05,2043,96.58363575268817,95.59375,2.4252976190476194,97.57470238095239,4.40625,96.52715266913712
8,8/8,0.0,1783,88.80729166666669,99.1875,21.676488095238092,78.32351190476192,0.8125,90.0552781086836
8,8/8,0.0,256,97.57106854838709,95.15625,0.0,100.0,4.84375,97.45331850203915
8,8/8,0.0,128,97.47580645161288,94.96875,0.0,100.0,5.03125,97.35331850203916
8,8/8,0.0,64,89.21421370967741,78.46875,0.0,100.0,21.53125,87.60323870007971
8,8/8,0.0,32,89.29334677419354,78.65625,0.0,100.0,21.34375,87.74403366830516
8,8/8,0.0,16,88.23689516129033,76.5625,0.0,100.0,23.4375,86.35669845253837
8,8/8,0.0,8,80.74495967741935,61.625,0.0,100.0,38.375,75.4998945267309
8,8/8,0.0,4,80.74143145161291,61.5625,0.0,100.0,38.4375,75.60256068657867
8,8/8,0.0,2,74.77066532258064,49.75,0.0,100.0,50.25,65.72934182271194
